238960;442080;109600;99900;300040;200710;215530;4540;226320;239220;219990;4550;375480
252950;270450;212480;261180;407250;323850;263740;263020;308080;444880;399820;207140;296470
378120;407120;407250;375530;263740;326630;393410;230650;285580;438600;375960;482730;356370
4000;252490;250340;47890;41000;265630;225840;346110;397340;265930;302830;387990;224540
346110;280790;369080;263540;366220;374040;324080;317470;304050;290080;407530;327090;297470
107410;13140;234510;393380;33930;203290;44340;222880;242860;730;12830;65790;33900
105600;237870;238240;374040;324080;211820;263200;304050;346110;286340;315460;266170;280520
8930;4760;3900;3910;376450;226860;4700;65980;289070;226840;289130;8800;268400
440;20;299360;271290;22350;265630;359550;730;218230;206210;333930;394230;291480
304930;316390;253430;312210;355840;351290;337950;349700;360760;299740;113420;409510;391460
730;10;570;393380;107410;33930;440;222880;359550;240;80;234510;291480
377160;40390;214250;9200;234140;22370;22300;466500;41700;417880;20510;22380;241540
227300;244210;446020;313160;310560;270880;277751;24010;284160;447020;232010;9930;263280
214950;297760;201271;4700;394360;364360;4760;289070;8930;4770;34030;10500;325610
359320;8500;2870;314230;275850;71000;236150;2840;252870;2800;2820;259450;2810
281990;2870;204880;228880;226860;261470;65980;236850;40400;203770;2820;208140;418250
372000;442080;258700;364110;268420;264360;99900;356330;215080;109600;290140;261430;217750
39210;442080;258700;261430;306130;212500;356330;215080;109600;39120;345350;268420;372000
221380;287450;4700;105450;232890;4570;266840;253900;40950;40970;333420;47400;325610
413150;280520;266170;24010;502770;248390;421040;105600;391440;220260;315460;211820;253250
359550;393380;107410;222880;24240;730;24960;291480;236510;15120;80;35450;500
370240;380600;234630;211500;44350;438490;385760;339610;255220;253710;282350;9930;255480
231430;9340;313480;64000;317850;394360;244450;25890;313500;4560;260309;7830;235380
220200;341640;396030;2870;236150;230290;333340;227160;244030;403190;17390;72200;369530
506140;280790;389430;317470;389570;482920;230410;407250;342570;301520;304050;438040;339610
242760;369080;305620;264710;386880;324080;223510;313120;239140;346110;286340;251570;339230
334230;482920;236110;389570;307290;230410;570;238960;730;346110;2400;431240;438490
242920;233860;224500;352720;233450;232890;305940;454060;224440;47400;403190;353640;255710
280790;317470;237870;374040;324080;314700;113420;223490;290080;346110;251570;324510;409510
208650;313690;498240;21000;200260;24200;213330;35140;212580;267550;242700;249870;209000
212680;249050;239350;253630;342980;234390;416070;334420;113200;364300;226120;233700;335830
389430;442080;258700;300040;261430;376570;109600;339280;240320;39120;290140;304030;287920
363150;105450;394360;227060;245620;351700;208520;463800;236850;42960;203770;266840;48720
311690;397570;242680;247080;347160;248820;343100;314410;384500;402120;269210;462100;371970
284160;244210;263760;234630;211500;228380;33440;397340;464690;313160;333950;263280;265930
220240;322920;298110;223100;386880;13520;346110;252490;253710;19900;304930;10680;371660
8500;2870;9900;236150;223410;322300;376570;359320;368750;304030;324510;2820;212070
204880;4920;226860;32470;245370;261470;65980;273070;40400;386070;244160;208140;281990
3910;3900;241990;4700;226860;65980;289070;8930;73190;306630;34030;8800;374380
266840;285190;287450;364360;320040;105450;221380;570;9450;47400;4540;232890;244160
410320;21100;41070;47780;45750;213120;230410;206500;42650;314580;206420;49540;226720
224260;316390;355840;355180;550;326960;349700;360760;238430;314280;304930;433350;107900
20900;288470;249230;204030;292030;20920;330840;47730;39500;65540;2100;265300;39510
17390;384740;383120;230290;244770;359320;332310;220200;352720;281990;24720;214730;72200
22330;40390;102500;489830;204030;40300;249230;39500;72850;367500;22320;65540;292030
263280;244210;313160;310560;270880;228380;234630;284160;486840;324310;241560;9930;321040
200710;272470;41500;256030;39190;250560;238960;215530;4540;225640;219990;4550;375480
